ParticipantID,Condition,Content,QuestionID,Heatmap,Contour,TimeWeighted,FixationMap,Scanpath
P1,minimap,v2,Q1,,,timeweighted_P1_v2_Q1.png,,scanpath_P1_v2_Q1.png
P1,minimap,v2,Q10,,,timeweighted_P1_v2_Q10.png,,scanpath_P1_v2_Q10.png
P1,minimap,v2,Q11,,,timeweighted_P1_v2_Q11.png,,scanpath_P1_v2_Q11.png
P1,minimap,v2,Q12,,,timeweighted_P1_v2_Q12.png,,scanpath_P1_v2_Q12.png
P1,minimap,v2,Q2,,,timeweighted_P1_v2_Q2.png,,scanpath_P1_v2_Q2.png
P1,minimap,v2,Q3,,,timeweighted_P1_v2_Q3.png,,scanpath_P1_v2_Q3.png
P1,minimap,v2,Q4,,,timeweighted_P1_v2_Q4.png,,scanpath_P1_v2_Q4.png
P1,minimap,v2,Q5,,,timeweighted_P1_v2_Q5.png,,scanpath_P1_v2_Q5.png
P1,minimap,v2,Q6,,,timeweighted_P1_v2_Q6.png,,scanpath_P1_v2_Q6.png
P1,minimap,v2,Q7,,,timeweighted_P1_v2_Q7.png,,scanpath_P1_v2_Q7.png
P1,minimap,v2,Q8,,,timeweighted_P1_v2_Q8.png,,scanpath_P1_v2_Q8.png
P1,minimap,v2,Q9,,,timeweighted_P1_v2_Q9.png,,scanpath_P1_v2_Q9.png
P1,none,v0,Q1,,,timeweighted_P1_v0_Q1.png,,scanpath_P1_v0_Q1.png
P1,none,v0,Q10,,,timeweighted_P1_v0_Q10.png,,scanpath_P1_v0_Q10.png
P1,none,v0,Q11,,,timeweighted_P1_v0_Q11.png,,scanpath_P1_v0_Q11.png
P1,none,v0,Q12,,,timeweighted_P1_v0_Q12.png,,scanpath_P1_v0_Q12.png
P1,none,v0,Q2,,,timeweighted_P1_v0_Q2.png,,scanpath_P1_v0_Q2.png
P1,none,v0,Q3,,,timeweighted_P1_v0_Q3.png,,scanpath_P1_v0_Q3.png
P1,none,v0,Q4,,,timeweighted_P1_v0_Q4.png,,scanpath_P1_v0_Q4.png
P1,none,v0,Q5,,,timeweighted_P1_v0_Q5.png,,scanpath_P1_v0_Q5.png
P1,none,v0,Q6,,,timeweighted_P1_v0_Q6.png,,scanpath_P1_v0_Q6.png
P1,none,v0,Q7,,,timeweighted_P1_v0_Q7.png,,scanpath_P1_v0_Q7.png
P1,none,v0,Q8,,,timeweighted_P1_v0_Q8.png,,scanpath_P1_v0_Q8.png
P1,none,v0,Q9,,,timeweighted_P1_v0_Q9.png,,scanpath_P1_v0_Q9.png
P1,overview,v1,Q1,,,timeweighted_P1_v1_Q1.png,,scanpath_P1_v1_Q1.png
P1,overview,v1,Q11,,,timeweighted_P1_v1_Q11.png,,scanpath_P1_v1_Q11.png
P1,overview,v1,Q12,,,timeweighted_P1_v1_Q12.png,,scanpath_P1_v1_Q12.png
